Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"C42"	,"CL05A106MP5NUNC"	,"C0402"	,"2165.4mil"	,"1141.7mil"	,"2165.4mil"	,"1141.7mil"	,"2186.8mil"	,"1141.7mil"	,"B"	,"180"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C43"	,"CC0402KRX7R7BB104"	,"C0402"	,"2155.5mil"	,"876mil"	,"2155.5mil"	,"876mil"	,"2134.1mil"	,"876mil"	,"T"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C44"	,"CL05A106MP5NUNC"	,"C0402"	,"2155.5mil"	,"925.2mil"	,"2155.5mil"	,"925.2mil"	,"2177mil"	,"925.2mil"	,"T"	,"180"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C45"	,"CC0402KRX7R7BB104"	,"C0402"	,"1953.3mil"	,"723.8mil"	,"1953.3mil"	,"723.8mil"	,"1938.2mil"	,"739mil"	,"B"	,"315"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C46"	,"CL05A106MP5NUNC"	,"C0402"	,"1874.6mil"	,"792.7mil"	,"1874.6mil"	,"792.7mil"	,"1859.4mil"	,"807.9mil"	,"B"	,"315"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C47"	,"CC0402KRX7R7BB104"	,"C0402"	,"1761.8mil"	,"836.6mil"	,"1761.8mil"	,"836.6mil"	,"1783.3mil"	,"836.6mil"	,"B"	,"180"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C48"	,"CL05A106MP5NUNC"	,"C0402"	,"1850.4mil"	,"895.7mil"	,"1850.4mil"	,"895.7mil"	,"1850.4mil"	,"917.1mil"	,"B"	,"270"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C49"	,"CC0402KRX7R7BB104"	,"C0402"	,"1771.7mil"	,"935mil"	,"1771.7mil"	,"935mil"	,"1750.2mil"	,"935mil"	,"B"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C50"	,"CL05A106MP5NUNC"	,"C0402"	,"1773.4mil"	,"984.3mil"	,"1773.4mil"	,"984.3mil"	,"1794.9mil"	,"984.3mil"	,"B"	,"180"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C51"	,"CC0402KRX7R7BB104"	,"C0402"	,"1643.7mil"	,"1053.1mil"	,"1643.7mil"	,"1053.1mil"	,"1643.7mil"	,"1074.6mil"	,"B"	,"270"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C52"	,"CL05A106MP5NUNC"	,"C0402"	,"1584.6mil"	,"1023.6mil"	,"1584.6mil"	,"1023.6mil"	,"1584.6mil"	,"1002.2mil"	,"B"	,"90"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C53"	,"CC0402KRX7R7BB104"	,"C0402"	,"1771.7mil"	,"1200.8mil"	,"1771.7mil"	,"1200.8mil"	,"1750.2mil"	,"1200.8mil"	,"B"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C54"	,"CL05A106MP5NUNC"	,"C0402"	,"1771.7mil"	,"1151.6mil"	,"1771.7mil"	,"1151.6mil"	,"1793.1mil"	,"1151.6mil"	,"B"	,"180"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"R43"	,"0402WGF1002TCE"	,"R0402"	,"1752mil"	,"816.9mil"	,"1752mil"	,"816.9mil"	,"1769mil"	,"816.9mil"	,"T"	,"180"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"C55"	,"CC0402KRX7R7BB104"	,"C0402"	,"1584.6mil"	,"935mil"	,"1584.6mil"	,"935mil"	,"1599.8mil"	,"950.2mil"	,"T"	,"225"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"R49"	,"RC0402FR-070RL"	,"R0402"	,"790mil"	,"1279.5mil"	,"790mil"	,"1279.5mil"	,"773mil"	,"1279.5mil"	,"T"	,"0"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"U15"	,"MCP2542FDT-H/MNY"	,"TDFN-8_L3.0-W2.0-P0.50-TL-EP"	,"876mil"	,"984.3mil"	,"876mil"	,"984.3mil"	,"931.8mil"	,"954.7mil"	,"T"	,"180"	,"Yes"	,"MCP2542FDT-H/MNY"	,
"R56"	,"0402WGF604JTCE"	,"R0402"	,"863.5mil"	,"974.4mil"	,"863.5mil"	,"974.4mil"	,"846.5mil"	,"974.4mil"	,"B"	,"0"	,"Yes"	,"0402WGF604JTCE"	,
"R57"	,"0402WGF604JTCE"	,"R0402"	,"863.5mil"	,"1023.6mil"	,"863.5mil"	,"1023.6mil"	,"880.5mil"	,"1023.6mil"	,"B"	,"180"	,"Yes"	,"0402WGF604JTCE"	,
"C61"	,"0402B472K500CT"	,"C0402"	,"935mil"	,"994.1mil"	,"935mil"	,"994.1mil"	,"935mil"	,"1015.6mil"	,"B"	,"270"	,"Yes"	,"0402B472K500CT_4.7nF"	,
"C62"	,"CC0402KRX7R7BB104"	,"C0402"	,"876mil"	,"1063mil"	,"876mil"	,"1063mil"	,"854.5mil"	,"1063mil"	,"T"	,"0"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C63"	,"CC0402KRX7R7BB104"	,"C0402"	,"974.4mil"	,"1054.9mil"	,"974.4mil"	,"1054.9mil"	,"974.4mil"	,"1033.5mil"	,"T"	,"90"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"R44"	,"RC0402FR-070RL"	,"R0402"	,"1968.5mil"	,"649.6mil"	,"1968.5mil"	,"649.6mil"	,"1951.5mil"	,"649.6mil"	,"B"	,"0"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"R45"	,"RC0402FR-070RL"	,"R0402"	,"1968.5mil"	,"649.6mil"	,"1968.5mil"	,"649.6mil"	,"1951.5mil"	,"649.6mil"	,"T"	,"0"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"U14"	,"SN74LVC3G17DCUR"	,"VSSOP-8_L2.4-W2.1-P0.50-LS3.2-BL"	,"1722.4mil"	,"551.2mil"	,"1722.4mil"	,"551.2mil"	,"1777.7mil"	,"521.7mil"	,"T"	,"90"	,"Yes"	,"SN74LVC3G17DCUR"	,
"C56"	,"CC0402KRX7R7BB104"	,"C0402"	,"1820.9mil"	,"590.6mil"	,"1820.9mil"	,"590.6mil"	,"1820.9mil"	,"569.1mil"	,"T"	,"90"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C57"	,"CL05A106MP5NUNC"	,"C0402"	,"1872mil"	,"590.6mil"	,"1872mil"	,"590.6mil"	,"1872mil"	,"612mil"	,"T"	,"270"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"R50"	,"0402WGF1002TCE"	,"R0402"	,"1702.8mil"	,"649.6mil"	,"1702.8mil"	,"649.6mil"	,"1702.8mil"	,"666.6mil"	,"T"	,"270"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"R51"	,"AR02BTC2001"	,"R0402"	,"1653.5mil"	,"649.6mil"	,"1653.5mil"	,"649.6mil"	,"1653.5mil"	,"666.6mil"	,"T"	,"270"	,"Yes"	,"AR02BTC2001_2kΩ"	,
"C58"	,"CC0402JRNPO9BN101"	,"C0402"	,"1653.5mil"	,"748mil"	,"1653.5mil"	,"748mil"	,"1653.5mil"	,"769.5mil"	,"T"	,"270"	,"Yes"	,"CC0402JRNPO9BN101_100pF"	,
"R52"	,"0402WGF1002TCE"	,"R0402"	,"1811mil"	,"679.1mil"	,"1811mil"	,"679.1mil"	,"1811mil"	,"696.2mil"	,"T"	,"270"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"R53"	,"AR02BTC2001"	,"R0402"	,"1761.8mil"	,"679.1mil"	,"1761.8mil"	,"679.1mil"	,"1761.8mil"	,"662.1mil"	,"T"	,"90"	,"Yes"	,"AR02BTC2001_2kΩ"	,
"C59"	,"CC0402JRNPO9BN101"	,"C0402"	,"1781.5mil"	,"748mil"	,"1781.5mil"	,"748mil"	,"1803mil"	,"748mil"	,"T"	,"180"	,"Yes"	,"CC0402JRNPO9BN101_100pF"	,
"R54"	,"0402WGF1002TCE"	,"R0402"	,"1588.6mil"	,"482.3mil"	,"1588.6mil"	,"482.3mil"	,"1588.6mil"	,"499.3mil"	,"B"	,"270"	,"Yes"	,"0402WGF1002TCE_10kΩ"	,
"R55"	,"AR02BTC2001"	,"R0402"	,"1604.3mil"	,"484.9mil"	,"1604.3mil"	,"484.9mil"	,"1604.3mil"	,"467.9mil"	,"T"	,"90"	,"Yes"	,"AR02BTC2001_2kΩ"	,
"C60"	,"CC0402JRNPO9BN101"	,"C0402"	,"1604.3mil"	,"586.4mil"	,"1604.3mil"	,"586.4mil"	,"1604.3mil"	,"607.9mil"	,"T"	,"-90"	,"Yes"	,"CC0402JRNPO9BN101_100pF"	,
"Q1"	,"AP2302B"	,"SOT-23_L2.9-W1.3-P1.90-LS2.4-BR"	,"905.5mil"	,"1230.3mil"	,"905.5mil"	,"1230.3mil"	,"950.8mil"	,"1192.9mil"	,"T"	,"0"	,"Yes"	,"AP2302B"	,
"R46"	,"AC0402FR-0710KL"	,"R0402"	,"1013.8mil"	,"1230.3mil"	,"1013.8mil"	,"1230.3mil"	,"1013.8mil"	,"1213.3mil"	,"T"	,"90"	,"Yes"	,"AC0402FR-0710KL_10kΩ"	,
"R47"	,"0402WGF2200TCE"	,"R0402"	,"1072.8mil"	,"1230.3mil"	,"1072.8mil"	,"1230.3mil"	,"1072.8mil"	,"1213.3mil"	,"T"	,"90"	,"Yes"	,"0402WGF2200TCE_220Ω"	,
"R48"	,"RC0402FR-070RL"	,"R0402"	,"706mil"	,"1279.5mil"	,"706mil"	,"1279.5mil"	,"723.1mil"	,"1279.5mil"	,"T"	,"180"	,"Yes"	,"RC0402FR-070RL_0Ω"	,
"U16"	,"STM32G431CBU6"	,"UFQFPN-48_L7.0-W7.0-P0.50-BL-EP"	,"1240.2mil"	,"856.3mil"	,"1240.2mil"	,"856.3mil"	,"1104.4mil"	,"964.6mil"	,"T"	,"-90"	,"Yes"	,"STM32G431CBU6"	,
"C64"	,"CL10A226MP8NUNE"	,"C0603"	,"777.6mil"	,"2076.8mil"	,"777.6mil"	,"2076.8mil"	,"750mil"	,"2076.8mil"	,"T"	,"0"	,"Yes"	,"CL10A226MP8NUNE_22uF"	,
"C65"	,"CL10A226MP8NUNE"	,"C0603"	,"905.5mil"	,"2155.5mil"	,"905.5mil"	,"2155.5mil"	,"933.1mil"	,"2155.5mil"	,"T"	,"180"	,"Yes"	,"CL10A226MP8NUNE_22uF"	,
"C66"	,"CL10A226MP8NUNE"	,"C0603"	,"2185mil"	,"1053.1mil"	,"2185mil"	,"1053.1mil"	,"2157.5mil"	,"1053.1mil"	,"T"	,"0"	,"Yes"	,"CL10A226MP8NUNE_22uF"	,
"C67"	,"CL10A226MP8NUNE"	,"C0603"	,"2263.8mil"	,"1122mil"	,"2263.8mil"	,"1122mil"	,"2291.3mil"	,"1122mil"	,"T"	,"180"	,"Yes"	,"CL10A226MP8NUNE_22uF"	,
"C68"	,"CL10A226MP8NUNE"	,"C0603"	,"2175.2mil"	,"1082.7mil"	,"2175.2mil"	,"1082.7mil"	,"2147.6mil"	,"1082.7mil"	,"B"	,"0"	,"Yes"	,"CL10A226MP8NUNE_22uF"	,
"C69"	,"CL10A226MP8NUNE"	,"C0603"	,"2269.7mil"	,"1088.6mil"	,"2269.7mil"	,"1088.6mil"	,"2269.7mil"	,"1116.1mil"	,"B"	,"270"	,"Yes"	,"CL10A226MP8NUNE_22uF"	,
"C70"	,"CL10A226MP8NUNE"	,"C0603"	,"1633.9mil"	,"885.8mil"	,"1633.9mil"	,"885.8mil"	,"1653.3mil"	,"905.3mil"	,"T"	,"225"	,"Yes"	,"CL10A226MP8NUNE_22uF"	,
"C71"	,"CL10A226MP8NUNE"	,"C0603"	,"1791.3mil"	,"1299.2mil"	,"1791.3mil"	,"1299.2mil"	,"1771.9mil"	,"1318.7mil"	,"B"	,"315"	,"Yes"	,"CL10A226MP8NUNE_22uF"	,
"C72"	,"CL10A226MP8NUNE"	,"C0603"	,"462.6mil"	,"1220.5mil"	,"462.6mil"	,"1220.5mil"	,"462.6mil"	,"1192.9mil"	,"B"	,"90"	,"Yes"	,"CL10A226MP8NUNE_22uF"	,
"C73"	,"CC0402KRX7R7BB104"	,"C0402"	,"1336.8mil"	,"767.7mil"	,"1336.8mil"	,"767.7mil"	,"1358.3mil"	,"767.7mil"	,"B"	,"180"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C74"	,"CL05A106MP5NUNC"	,"C0402"	,"1338.6mil"	,"816.9mil"	,"1338.6mil"	,"816.9mil"	,"1317.1mil"	,"816.9mil"	,"B"	,"0"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C75"	,"CC0402KRX7R7BB104"	,"C0402"	,"1633.9mil"	,"848.2mil"	,"1633.9mil"	,"848.2mil"	,"1633.9mil"	,"869.7mil"	,"B"	,"270"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C76"	,"CL05A106MP5NUNC"	,"C0402"	,"1535.4mil"	,"944.9mil"	,"1535.4mil"	,"944.9mil"	,"1550.6mil"	,"929.7mil"	,"B"	,"135"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C77"	,"CC0402KRX7R7BB104"	,"C0402"	,"1456.7mil"	,"708.7mil"	,"1456.7mil"	,"708.7mil"	,"1441.5mil"	,"723.8mil"	,"T"	,"315"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C78"	,"CL05A106MP5NUNC"	,"C0402"	,"1584.6mil"	,"846.5mil"	,"1584.6mil"	,"846.5mil"	,"1584.6mil"	,"825mil"	,"B"	,"90"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C79"	,"CC0402KRX7R7BB104"	,"C0402"	,"1442.9mil"	,"551.2mil"	,"1442.9mil"	,"551.2mil"	,"1442.9mil"	,"572.6mil"	,"T"	,"270"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C80"	,"CL05A106MP5NUNC"	,"C0402"	,"1427.2mil"	,"679.1mil"	,"1427.2mil"	,"679.1mil"	,"1442.3mil"	,"664mil"	,"T"	,"135"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C81"	,"CC0402KRX7R7BB104"	,"C0402"	,"935mil"	,"600.4mil"	,"935mil"	,"600.4mil"	,"950.2mil"	,"615.6mil"	,"B"	,"225"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C82"	,"CL05A106MP5NUNC"	,"C0402"	,"984.3mil"	,"570.9mil"	,"984.3mil"	,"570.9mil"	,"969.1mil"	,"555.7mil"	,"B"	,"45"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C83"	,"CC0402KRX7R7BB104"	,"C0402"	,"836.6mil"	,"659.4mil"	,"836.6mil"	,"659.4mil"	,"851.8mil"	,"674.6mil"	,"B"	,"225"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C84"	,"CL05A106MP5NUNC"	,"C0402"	,"885.8mil"	,"629.9mil"	,"885.8mil"	,"629.9mil"	,"870.7mil"	,"614.7mil"	,"B"	,"45"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"R58"	,"PTFR0402B100KN9"	,"R0402"	,"1102.4mil"	,"1131.9mil"	,"1102.4mil"	,"1131.9mil"	,"1102.4mil"	,"1114.8mil"	,"T"	,"90"	,"Yes"	,"PTFR0402B100KN9_100kΩ"	,
"C85"	,"CC0402KRX7R7BB104"	,"C0402"	,"974.4mil"	,"885.8mil"	,"974.4mil"	,"885.8mil"	,"974.4mil"	,"864.4mil"	,"T"	,"90"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"R39"	,"0402WGF7502TCE"	,"R0402"	,"1328.7mil"	,"974.4mil"	,"1328.7mil"	,"974.4mil"	,"1328.7mil"	,"957.4mil"	,"B"	,"90"	,"Yes"	,"0402WGF7502TCE"	,
"R59"	,"AC0402FR-0722RL"	,"R0402"	,"1565mil"	,"767.7mil"	,"1565mil"	,"767.7mil"	,"1565mil"	,"750.7mil"	,"T"	,"90"	,"Yes"	,"AC0402FR-0722RL_22Ω"	,
"R60"	,"AC0402FR-0722RL"	,"R0402"	,"1525.6mil"	,"767.7mil"	,"1525.6mil"	,"767.7mil"	,"1525.6mil"	,"750.7mil"	,"T"	,"90"	,"Yes"	,"AC0402FR-0722RL_22Ω"	,
"R61"	,"0402WGF5101TCE"	,"R0402"	,"1299.2mil"	,"551.2mil"	,"1299.2mil"	,"551.2mil"	,"1299.2mil"	,"568.2mil"	,"T"	,"270"	,"Yes"	,"0402WGF5101TCE"	,
"R62"	,"0402WGF5101TCE"	,"R0402"	,"1525.6mil"	,"568.2mil"	,"1525.6mil"	,"568.2mil"	,"1525.6mil"	,"585.3mil"	,"T"	,"270"	,"Yes"	,"0402WGF5101TCE"	,
"D2"	,"DSK16"	,"SOD-123_L2.8-W1.8-LS3.7-RD"	,"1565mil"	,"757.9mil"	,"1565mil"	,"757.9mil"	,"1631.6mil"	,"757.9mil"	,"B"	,"180"	,"Yes"	,"DSK16"	,
"X2"	,"X322524MOB4SI"	,"CRYSTAL-SMD_4P-L3.2-W2.5-BL"	,"1161.4mil"	,"816.9mil"	,"1161.4mil"	,"816.9mil"	,"1128mil"	,"773.6mil"	,"B"	,"90"	,"Yes"	,"X322524MOB4SI_24MHz"	,
"C86"	,"0402CG150J500NT"	,"C0402"	,"1299.2mil"	,"866.1mil"	,"1299.2mil"	,"866.1mil"	,"1320.7mil"	,"866.1mil"	,"B"	,"180"	,"Yes"	,"0402CG150J500NT_15pF"	,
"C87"	,"0402CG150J500NT"	,"C0402"	,"1161.4mil"	,"698.8mil"	,"1161.4mil"	,"698.8mil"	,"1182.9mil"	,"698.8mil"	,"B"	,"180"	,"Yes"	,"0402CG150J500NT_15pF"	,
"U17"	,"MAX14841EATA+T"	,"TDFN-8_L3.0-W3.0-P0.65-BL-EP"	,"816.9mil"	,"866.1mil"	,"816.9mil"	,"866.1mil"	,"875.8mil"	,"827.8mil"	,"T"	,"90"	,"Yes"	,"MAX14841EATA+T"	,
"R63"	,"RC0402FR-07120RL"	,"R0402"	,"679.1mil"	,"816.9mil"	,"679.1mil"	,"816.9mil"	,"679.1mil"	,"834mil"	,"T"	,"270"	,"Yes"	,"RC0402FR-07120RL_120Ω"	,
"C88"	,"CC0402KRX7R7BB104"	,"C0402"	,"767.7mil"	,"710.6mil"	,"767.7mil"	,"710.6mil"	,"767.7mil"	,"732.1mil"	,"T"	,"270"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C89"	,"CL05A106MP5NUNC"	,"C0402"	,"718.5mil"	,"710.6mil"	,"718.5mil"	,"710.6mil"	,"718.5mil"	,"689.2mil"	,"T"	,"90"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"LED1"	,"MHT136UBCT"	,"LED0402-RD_BLUE"	,"1324.2mil"	,"457.3mil"	,"1324.2mil"	,"457.3mil"	,"1324.2mil"	,"436.1mil"	,"T"	,"90"	,"Yes"	,"MHT136UBCT"	,
"LED2"	,"MHT136UBCT"	,"LED0402-RD_BLUE"	,"1402.9mil"	,"457.3mil"	,"1402.9mil"	,"457.3mil"	,"1402.9mil"	,"436.1mil"	,"T"	,"90"	,"Yes"	,"MHT136UBCT"	,
"LED3"	,"MHT136UBCT"	,"LED0402-RD_BLUE"	,"1481.7mil"	,"457.3mil"	,"1481.7mil"	,"457.3mil"	,"1481.7mil"	,"436.1mil"	,"T"	,"90"	,"Yes"	,"MHT136UBCT"	,
"R64"	,"AC0402FR-07470RL"	,"R0402"	,"1284.8mil"	,"457.3mil"	,"1284.8mil"	,"457.3mil"	,"1284.8mil"	,"440.3mil"	,"T"	,"90"	,"Yes"	,"AC0402FR-07470RL_470Ω"	,
"R65"	,"AC0402FR-07470RL"	,"R0402"	,"1363.6mil"	,"457.3mil"	,"1363.6mil"	,"457.3mil"	,"1363.6mil"	,"440.3mil"	,"T"	,"90"	,"Yes"	,"AC0402FR-07470RL_470Ω"	,
"R66"	,"AC0402FR-07470RL"	,"R0402"	,"1442.3mil"	,"457.3mil"	,"1442.3mil"	,"457.3mil"	,"1442.3mil"	,"440.3mil"	,"T"	,"90"	,"Yes"	,"AC0402FR-07470RL_470Ω"	,
"LED4"	,"MHT136CSCT"	,"LED0402-RD_ORANGE"	,"2074.7mil"	,"1980mil"	,"2074.7mil"	,"1980mil"	,"2059.7mil"	,"1965mil"	,"B"	,"45"	,"Yes"	,"MHT136CSCT"	,
"R67"	,"0402WGJ0561TCE"	,"R0402"	,"1958.7mil"	,"2027.6mil"	,"1958.7mil"	,"2027.6mil"	,"1975.7mil"	,"2027.6mil"	,"B"	,"180"	,"Yes"	,"0402WGJ0561TCE_560Ω"	,
"ENC"	,"A1002WR-S-5P"	,"CONN-SMD_A1002WR-S-5P"	,"1774.8mil"	,"618.3mil"	,"1752mil"	,"629.9mil"	,"1788.6mil"	,"731.5mil"	,"B"	,"207"	,"Yes"	,"A1002WR-S-5P"	,
"RS485"	,"A1002WR-S-2P"	,"CONN-SMD_A1002WR-S-2P"	,"769.9mil"	,"775.6mil"	,"779.5mil"	,"785.5mil"	,"847.7mil"	,"824mil"	,"B"	,"134"	,"Yes"	,"A1002WR-S-2P"	,
"CAN"	,"A1002WR-S-2P"	,"CONN-SMD_A1002WR-S-2P"	,"642.7mil"	,"942.8mil"	,"649.6mil"	,"954.7mil"	,"725mil"	,"975.6mil"	,"B"	,"120"	,"Yes"	,"A1002WR-S-2P"	,
"GRE"	,"A1002WR-S-8P"	,"CONN-SMD_A1002WR-S-8P"	,"590.8mil"	,"1051.1mil"	,"600mil"	,"1075mil"	,"621.4mil"	,"1230.8mil"	,"T"	,"291"	,"Yes"	,"A1002WR-S-8P"	,
"SPI"	,"A1002WR-S-6P"	,"CONN-SMD_A1002WR-S-6P"	,"950.1mil"	,"625.4mil"	,"972.4mil"	,"637.8mil"	,"923.3mil"	,"752.3mil"	,"T"	,"331"	,"Yes"	,"A1002WR-S-6P"	,
"C90"	,"CC0402KRX7R7BB104"	,"C0402"	,"1063mil"	,"502mil"	,"1063mil"	,"502mil"	,"1084.5mil"	,"502mil"	,"B"	,"180"	,"Yes"	,"CC0402KRX7R7BB104_100nF"	,
"C91"	,"CL05A106MP5NUNC"	,"C0402"	,"1102.4mil"	,"590.6mil"	,"1102.4mil"	,"590.6mil"	,"1080.9mil"	,"590.6mil"	,"B"	,"0"	,"Yes"	,"CL05A106MP5NUNC_10uF"	,
"C33"	,"GRM31CC72A475KE11L"	,"C1206"	,"905.5mil"	,"1968.5mil"	,"905.5mil"	,"1968.5mil"	,"905.5mil"	,"1905.8mil"	,"B"	,"90"	,"Yes"	,"GRM31CC72A475KE11L_4.7uF"	,
"C34"	,"GRM31CC72A475KE11L"	,"C1206"	,"994.1mil"	,"1968.5mil"	,"994.1mil"	,"1968.5mil"	,"994.1mil"	,"1905.8mil"	,"B"	,"90"	,"Yes"	,"GRM31CC72A475KE11L_4.7uF"	,
"C35"	,"GRM31CC72A475KE11L"	,"C1206"	,"702.8mil"	,"1945.2mil"	,"702.8mil"	,"1945.2mil"	,"702.8mil"	,"1882.5mil"	,"B"	,"90"	,"Yes"	,"GRM31CC72A475KE11L_4.7uF"	,
"C36"	,"GRM31CC72A475KE11L"	,"C1206"	,"1082.7mil"	,"1968.5mil"	,"1082.7mil"	,"1968.5mil"	,"1082.7mil"	,"1905.8mil"	,"B"	,"90"	,"Yes"	,"GRM31CC72A475KE11L_4.7uF"	,
"X1"	,"OT322525MJBA4SL"	,"OSC-SMD_4P-L3.2-W2.5-BL"	,"1515.7mil"	,"1003.9mil"	,"1515.7mil"	,"1003.9mil"	,"1509.5mil"	,"949mil"	,"T"	,"45"	,"Yes"	,"OT322525MJBA4SL_25MHz"	,
"U18"	,"SN74LVC1G10DSFR"	,"X2SON-6_L1.0-W1.0-P0.35-TL"	,"1135mil"	,"490mil"	,"1135mil"	,"490mil"	,"1121.2mil"	,"475.8mil"	,"T"	,"90"	,"Yes"	,"SN74LVC1G10DSFR"	,
